x z1 z2 z3
  93 0.9999766932 0.9999054943 0.9999054943
  94 0.9999652095 0.9999448002 0.9999448002
  95 0.9999894413 0.9999187449 0.9999187449
  96 0.9999720000 0.9999636544 0.9999636544
  97 0.9999856308 0.9999257936 0.9999257936
  98 0.9999703759 0.9999777264 0.9999777264
  99 0.9999918618 0.9999870833 0.9999870833
 100 0.9999839573 0.9999241415 0.9999241415
 101 0.9999857214 0.9999642761 0.9999642761
 102 0.9999774723 0.9998898206 0.9998898206
 103 0.9999775474 0.9998459053 0.9998459053
 104 0.9999840888 0.9999392823 0.9999392823
 105 0.9999890587 0.9999232918 0.9999232918
 106 0.9999776255 0.9999807971 0.9999807971
 107 0.9999828800 0.9999379981 0.9999379981
 108 0.9999812141 0.9998936558 0.9998936558
 109 0.9999725764 0.9998956604 0.9998956604
 110 0.9999902733 0.9998471794 0.9998471794
 111 0.9999534649 0.9998671239 0.9998671239
 112 0.9999812456 0.9999168141 0.9999168141
 113 0.9999883971 0.9999239084 0.9999239084
 114 0.9999811428 0.9999583293 0.9999583293
 115 0.9999935844 0.9999414565 0.9999414565
 116 0.9999617816 0.9998468757 0.9998468757
 117 0.9999812106 0.9998137069 0.9998137069
 118 0.9999769303 0.9998403457 0.9998403457
 119 0.9999756874 0.9997927955 0.9997927955
 120 0.9999879461 0.9999416674 0.9999416674
 121 0.9999745454 0.9999381589 0.9999381589
 122 0.9999785067 0.9999539069 0.9999539069
 123 0.9999808489 0.9997672809 0.9997672809
 124 0.9999782545 0.9998171292 0.9998171292
 125 0.9999784996 0.9997623212 0.9997623212
 126 0.9999793854 0.9997768746 0.9997768746
 127 0.9999805223 0.9998139185 0.9998139185
 128 0.9999820583 0.9998765990 0.9998765990
 129 0.9999708508 0.9999205186 0.9999205186
